Age,BusinessTravel,Department,workmode,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,MaritalStatus,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,Laidoff
41,Travel_Rarely,Sales,office,2,2,Female,94,3,2,Single,Yes,3,1,8,Yes
49,Travel_Frequently,Research & Development,office,1,3,Male,61,2,2,Married,No,4,4,10,No
37,Travel_Rarely,Research & Development,office,2,4,Male,92,2,1,Single,Yes,3,2,7,Yes
33,Travel_Frequently,Research & Development,office,4,4,Female,56,3,1,Married,Yes,3,3,8,No
27,Travel_Rarely,Research & Development,office,1,1,Male,40,3,1,Married,No,3,4,6,No
32,Travel_Frequently,Research & Development,office,2,4,Male,79,3,1,Single,No,3,3,8,No
59,Travel_Rarely,Research & Development,office,3,3,Female,81,4,1,Married,Yes,4,1,12,No
30,Travel_Rarely,Research & Development,Remote,1,4,Male,67,3,1,Divorced,No,4,2,1,No
38,Travel_Frequently,Research & Development,Remote,3,4,Male,44,2,3,Single,No,4,2,10,No
36,Travel_Rarely,Research & Development,Remote,3,3,Male,94,3,2,Married,No,3,2,17,No
35,Travel_Rarely,Research & Development,Hybrid,3,1,Male,84,4,1,Married,No,3,3,6,No
29,Travel_Rarely,Research & Development,Hybrid,2,4,Female,49,2,2,Single,Yes,3,4,10,No
31,Travel_Rarely,Research & Development,Remote,1,1,Male,31,3,1,Divorced,No,3,4,5,No
34,Travel_Rarely,Research & Development,Hybrid,2,2,Male,93,3,1,Divorced,No,3,3,3,No
28,Travel_Rarely,Research & Development,Remote,3,3,Male,50,2,1,Single,Yes,3,2,6,Yes
29,Travel_Rarely,Research & Development,Remote,4,2,Female,51,4,3,Divorced,No,3,3,10,No
32,Travel_Rarely,Research & Development,office,2,1,Male,80,4,1,Divorced,Yes,3,4,7,No
22,Non-Travel,Research & Development,Hybrid,2,4,Male,96,4,1,Divorced,Yes,3,2,1,No
53,Travel_Rarely,Sales,office,4,1,Female,78,2,4,Married,No,3,3,31,No
38,Travel_Rarely,Research & Development,office,3,4,Male,45,3,1,Single,Yes,3,3,6,No
24,Non-Travel,Research & Development,Hybrid,2,1,Female,96,4,2,Divorced,No,3,4,5,No
36,Travel_Rarely,Sales,office,4,3,Male,82,2,1,Single,No,4,2,10,Yes
34,Travel_Rarely,Research & Development,office,4,1,Female,53,3,3,Single,No,3,3,13,No
21,Travel_Rarely,Research & Development,Hybrid,2,3,Male,96,3,1,Single,No,3,4,0,No
34,Travel_Rarely,Research & Development,office,1,2,Male,83,3,1,Single,No,3,3,8,Yes
